"referid","testid","seqid","algorithm","sp","tc","time"
"ref7","test","dtd_ref7","dialign","0.746","0.000","118787.491"
"ref7","test","dtd_ref7","poa","0.724","0.142","16335.912"
"ref7","test","dtd_ref7","clustalw2","0.733","0.229","31697.763"
"ref5","test","S52_ref5","tcoffee","0.911","0.869","403.39"
"ref5","test","S52_ref5","dialign","0.557","0.000","180.005"
"ref5","test","S52_ref5","poa","0.779","0.701","163.976"
"ref5","test","S52_ref5","clustalw2","0.902","0.841","214.614"
"ref6","test_2c","lrr_1_ref6","tcoffee","","","2515.88"
"ref6","test_2c","lrr_1_ref6","dialign","","","1420.892"
"ref6","test_2c","lrr_1_ref6","poa","","","579.571"
"ref6","test_2c","lrr_1_ref6","clustalw2","","","973.418"
"ref4","test","kinase1_ref4","tcoffee","0.922","0.776","1144.572"
"ref4","test","kinase1_ref4","dialign","0.842","0.631","502.191"
"ref4","test","kinase1_ref4","poa","0.764","0.452","252.251"
"ref4","test","kinase1_ref4","clustalw2","0.873","0.624","387.189"
"ref8","test","ptga_1_ref8","tcoffee","0.456","0.000","19819.756"
"ref8","test","ptga_1_ref8","dialign","0.572","0.227","15352.625"
"ref8","test","ptga_1_ref8","poa","0.409","0.000","2637.774"
"ref8","test","ptga_1_ref8","clustalw2","0.440","0.000","5269.892"
"ref2","test1","1tvxA_ref2","tcoffee","0.903","0.444","545.474"
"ref2","test1","1tvxA_ref2","dialign","0.844","0.000","286.044"
"ref2","test1","1tvxA_ref2","poa","0.850","0.148","133.123"
"ref2","test1","1tvxA_ref2","clustalw2","0.942","0.556","240.718"
"ref6","test_2a","lrr_2_ref6","tcoffee","","","347.107"
"ref6","test_2a","lrr_2_ref6","dialign","","","211.591"
"ref6","test_2a","lrr_2_ref6","poa","","","142.914"
"ref6","test_2a","lrr_2_ref6","clustalw2","","","162.03"
"ref6","test_1a","sh3_ref6","tcoffee","","","323.393"
"ref6","test_1a","sh3_ref6","dialign","","","127.456"
"ref6","test_1a","sh3_ref6","poa","","","143.789"
"ref6","test_1a","sh3_ref6","clustalw2","","","95.795"
"ref4","test","1csp_ref4","tcoffee","0.566","0.000","454.748"
"ref4","test","1csp_ref4","dialign","0.589","0.298","143.942"
"ref4","test","1csp_ref4","poa","0.475","0.000","134.314"
"ref4","test","1csp_ref4","clustalw2","0.498","0.000","122.351"
"ref5","test","kinase2_ref5","tcoffee","0.875","0.675","1968.056"
"ref5","test","kinase2_ref5","dialign","0.643","0.022","1065.588"
"ref5","test","kinase2_ref5","poa","0.672","0.258","343.486"
"ref5","test","kinase2_ref5","clustalw2","0.819","0.336","537.201"
"ref6","test_2b","lrr_1_ref6","tcoffee","","","1169.117"
"ref6","test_2b","lrr_1_ref6","dialign","","","693.573"
"ref6","test_2b","lrr_1_ref6","poa","","","193.984"
"ref6","test_2b","lrr_1_ref6","clustalw2","","","334.206"
"ref5","test","S51_ref5","tcoffee","0.862","0.602","2327.002"
"ref5","test","S51_ref5","dialign","0.543","0.000","1253.868"
"ref5","test","S51_ref5","poa","0.675","0.308","404.75"
"ref5","test","S51_ref5","clustalw2","0.823","0.443","457.172"
"ref1","test1","1tvxA_ref1","tcoffee","0.284","0.000","216.51"
"ref1","test1","1tvxA_ref1","dialign","0.142","0.000","115.87"
"ref1","test1","1tvxA_ref1","poa","0.230","0.000","106.299"
"ref1","test1","1tvxA_ref1","clustalw2","0.216","0.000","42.439"
"ref3","test","4enl_ref3","tcoffee","0.800","0.257","6748.927"
"ref3","test","4enl_ref3","dialign","0.772","0.335","5302.682"
"ref3","test","4enl_ref3","poa","0.716","0.201","837.661"
"ref3","test","4enl_ref3","clustalw2","0.799","0.417","1880.869"
"ref5","test","kinase1_ref5","tcoffee","0.880","0.769","451.647"
"ref5","test","kinase1_ref5","dialign","0.781","0.573","227.903"
"ref5","test","kinase1_ref5","poa","0.664","0.465","189.804"
"ref5","test","kinase1_ref5","clustalw2","0.817","0.646","170.134"
"ref1","test2","2hsdA_ref1","tcoffee","0.677","0.448","374.636"
"ref1","test2","2hsdA_ref1","dialign","0.442","0.186","143.145"
"ref1","test2","2hsdA_ref1","poa","0.413","0.252","123.825"
"ref1","test2","2hsdA_ref1","clustalw2","0.590","0.262","69.61"
"ref1","test1","1hfh_ref1","tcoffee","0.896","0.789","259.311"
"ref1","test1","1hfh_ref1","dialign","0.326","0.000","84.345"
"ref1","test1","1hfh_ref1","poa","0.734","0.486","116.545"
"ref1","test1","1hfh_ref1","clustalw2","0.820","0.624","71.699"
"ref6","test_2a","sh3_ref6","tcoffee","","","3907.785"
"ref6","test_2a","sh3_ref6","dialign","","","2700.564"
"ref6","test_2a","sh3_ref6","poa","","","632.658"
"ref6","test_2a","sh3_ref6","clustalw2","","","1810.382"
"ref1","test2","1led_ref1","tcoffee","0.952","0.917","353.334"
"ref1","test2","1led_ref1","dialign","0.467","0.055","182.876"
"ref1","test2","1led_ref1","poa","0.842","0.739","109.904"
"ref1","test2","1led_ref1","clustalw2","0.900","0.826","157.675"
"ref7","test","photo_ref7","tcoffee","0.882","0.489","10912.624"
"ref7","test","photo_ref7","dialign","0.691","0.000","7528.941"
"ref7","test","photo_ref7","poa","0.711","0.242","957.384"
"ref7","test","photo_ref7","clustalw2","0.875","0.458","1985.771"
"ref6","test_2a","lrr_1_ref6","tcoffee","","","832.211"
"ref6","test_2a","lrr_1_ref6","dialign","","","449.189"
"ref6","test_2a","lrr_1_ref6","poa","","","179.561"
"ref6","test_2a","lrr_1_ref6","clustalw2","","","277.475"
"ref3","test","1idy_ref3","tcoffee","0.666","0.146","1109.391"
"ref3","test","1idy_ref3","dialign","0.385","0.000","713.15"
"ref3","test","1idy_ref3","poa","0.264","0.000","179.228"
"ref3","test","1idy_ref3","clustalw2","0.529","0.000","387.44"
"ref2","test1","2hsdA_ref2","tcoffee","0.874","0.314","3364.803"
"ref2","test1","2hsdA_ref2","dialign","0.651","0.000","2427.597"
"ref2","test1","2hsdA_ref2","poa","0.794","0.212","567.244"
"ref2","test1","2hsdA_ref2","clustalw2","0.813","0.377","986.937"
"ref1","test1","1csy_ref1","tcoffee","0.896","0.820","251.348"
"ref1","test1","1csy_ref1","dialign","0.847","0.742","142.743"
"ref1","test1","1csy_ref1","poa","0.728","0.607","109.554"
"ref1","test1","1csy_ref1","clustalw2","0.861","0.742","67.652"
"ref7","test","7tm_ref7","tcoffee","0.846","0.370","424276.708"
"ref7","test","7tm_ref7","dialign","0.755","0.000","266986.161"
"ref7","test","7tm_ref7","poa","0.715","0.199","28542.229"
"ref7","test","7tm_ref7","clustalw2","0.817","0.353","60269.307"
"ref7","test","acr_ref7","tcoffee","0.932","0.635","187872.829"
"ref7","test","acr_ref7","dialign","0.880","0.512","188866.745"
"ref7","test","acr_ref7","poa","0.824","0.361","23875.446"
"ref7","test","acr_ref7","clustalw2","0.900","0.576","55494.586"
